product_id,price,n_reviews_total,y_favrate_only,y_50_50,y_30_70,y_70_30,y_sentiment_only,m_e_avg,m_f_avg,me1_z,me2_z,me3_z,me4_z,me5_z,mf1_z,mf2_z,mf3_z,mf4_z,mf5_z,mf6_z,mf7_z,z_pc1,z_pc2,z_pc3,z_pc4,z_pc5,z_pc6,z_pc7,has_discount,free_shipping,ln_imperfection,ln_brand_avg_price,recency_inv,sentiment_mean,favorable_rate_raw,favorable_rate_logit,sentiment_z,favrate_z,brand
1-1,488,274,-0.403035099,0.085825285,-0.109718869,0.281369438,0.574685669,0.281496731,0.172517486,0.535120981,-0.345039387,-0.063522527,0.372124083,0.908800506,-0.105045839,-0.229800163,0.266300205,1.148311905,0.179740484,0.082317872,-0.13420206,-1.230245045,1.154211062,0.225572516,-0.687818196,0.013923348,0.025060303,0.133556156,1,1,-1.5606477482646677,7.624008448256557,0.0113636363636363,0.865328467,0.99,4.500819262,0.574685669,-0.403035099,YS
1-2,488,586,-0.810020789,-0.251173223,-0.474712249,-0.027634196,0.307674344,0.301778386,0.1750062,0.110909752,-0.428916472,0.25955594,0.550811908,1.016530804,0.227269861,0.237851227,0.131780596,0.350440259,-0.142344121,0.053105806,0.366939771,0.482820418,0.821992921,-0.162414659,0.060472436,-0.375786802,-0.196586443,-0.091892755,1,1,-4.605170185988091,7.549671082742242,0.0133333333333333,0.822866894,0.98,3.844050022,0.307674344,-0.810020789,MY
1-3,488,242,-0.403035099,-0.205326996,-0.284410237,-0.126243755,-0.007618893,0.150939177,0.106558464,-0.083148647,-0.391058593,9.97e-05,0.564636128,0.664167253,0.67393922,-0.128904038,0.025780989,0.277506008,-0.585042317,0.105853604,0.376775784,-0.389912718,0.627880176,0.005876639,-0.583608834,0.459959098,0.05400109,-0.322620986,1,1,-0.6733445532637656,7.404157382082404,0.024390243902439,0.772727273,0.99,4.500819262,-0.007618893,-0.403035099,JN
1-4,498,90,1.089110451,0.867547089,0.956172434,0.778921744,0.645983727,-0.943333315,-0.856457602,-1.272890337,-0.83348885,-1.144687398,-0.780406174,-0.685193816,-1.001882347,-0.868529024,-0.886180671,-0.931810733,-0.67607743,-0.533822909,-1.096900102,0.219927813,-0.55124074,-0.668588227,-0.083387989,0.054239021,0.17320197,-0.088938773,0,1,-1.1711829815029458,7.116664670268523,0.0020703933747412,0.876666667,1.0,6.908754779,0.645983727,1.089110451,LC
1-5,498,850,-0.810020789,-0.399824539,-0.563903039,-0.235746038,0.010371712,0.467293625,0.416182432,0.042201353,0.590337231,0.031556384,0.542759014,1.129614141,-0.025129525,-0.054303431,1.292832629,0.863910487,-0.207956815,0.405052781,0.638870896,0.858660574,0.623187454,-0.160159141,-0.299499853,0.112025603,-0.617173,0.507096274,1,1,-4.605170185988091,7.549671082742242,0.0169491525423728,0.775588235,0.98,3.844050022,0.010371712,-0.810020789,MY
1-6,399,191,-0.810020789,-0.550239363,-0.654151934,-0.446326793,-0.290457937,-0.381582557,0.192498731,-0.364893825,-0.092740809,-0.487670613,-0.277413722,-0.685193816,0.874870783,-0.847704214,0.128144144,-0.021353049,-0.422909499,1.175526251,0.460916701,1.209691751,0.676096963,0.405217485,1.297418054,-0.084057188,-0.517897049,-0.222758223,0,1,-2.207274913189724,7.372785624427692,0.0263157894736842,0.727748691,0.98,3.844050022,-0.290457937,-0.810020789,LG
1-7,498,924,-0.403035099,-0.07159843,-0.204173098,0.060976237,0.259838239,0.10032588,0.99829001,0.047320314,0.811516508,-0.147249099,0.154963034,-0.36492136,1.898058651,1.287764791,0.994268234,0.71393004,0.596568107,0.656723693,0.840716553,-0.296946617,-0.258960605,-0.002412195,-0.43094317,-0.146358323,0.626433754,0.626154874,1,1,-4.605170185988091,6.712834686611667,0.03125,0.81525974,0.99,4.500819262,0.259838239,-0.403035099,XM
1-8,349,727,-1.379109601,-0.871429358,-1.074501455,-0.66835726,-0.363749114,-0.013605145,-0.040553483,-0.167572954,0.234246895,0.11171442,0.200159054,-0.446573139,-1.113531755,-0.802875014,0.560828426,0.494147953,0.263966818,-0.6605589,0.974148092,-1.09104707,-0.974674781,0.585570543,1.679352339,0.682081121,0.107278956,0.413418731,0,0,-4.605170185988091,5.857933154483459,0.0147058823529411,0.716093535,0.95,2.92568843,-0.363749114,-1.379109601,JY
1-9,300,9,1.089110451,0.975845676,1.021151586,0.930539767,0.862580902,-1.000131625,-0.45271781,-1.01256711,-0.83348885,-1.144687398,-1.324720952,-0.685193816,-0.32588521,-0.868529024,-0.425348499,-1.114326973,-0.862776561,-0.819962864,1.247804464,-0.45940112,-0.356828118,-0.02920832,-0.255595003,-0.192196004,0.468610035,0.347178593,1,0,-1.1711829815029458,5.707110264748875,0.0031347962382445,0.911111111,1.0,6.908754779,0.862580902,1.089110451,HT
1-10,138,366,-1.057712899,-0.96449877,-1.001784422,-0.927213118,-0.871284641,-0.15067528,-0.240324181,-0.420438458,0.315759145,0.125615681,-0.182056505,-0.592256265,-0.215066007,-0.80332347,-0.494149555,-0.228541417,0.193144753,-0.383716702,0.249383134,1.198074182,0.319080014,0.423743674,0.025506536,0.293750627,0.082611168,0.139861342,0,0,-0.8915981192837826,4.934473933130692,0.0204081632653061,0.635382514,0.97,3.444339264,-0.871284641,-1.057712899,QP
1-11,87,538,-1.237380537,-0.570061754,-0.836989267,-0.30313424,0.09725703,-0.013558366,-0.201197907,-0.533533663,0.165121824,0.2841476,0.410830427,-0.394358015,-0.680003758,-0.83156305,-0.594622133,0.339319513,0.261582517,0.379910258,-0.283008694,1.248334275,1.081446494,0.539568176,0.760940009,-0.412096132,0.526591826,-0.727548237,0,0,0.009950330853168,6.202535517187923,0.0021598272138228,0.789405204,0.96,3.154402342,0.09725703,-1.237380537,ZH
1-12,450,4,1.089110451,0.862306835,0.953028281,0.771585388,0.635503218,3.131799901,0.722136666,4.844705499,7.132889302,2.969745583,1.396852938,-0.685193816,0.407819,3.109009793,0.836453877,-0.739154701,-0.862776561,-0.819962864,3.123568117,-0.350502709,-0.524179075,0.167900139,-0.422753956,-0.121023671,0.501447494,0.451898825,0,1,0.009950330853168,6.111467339502679,0.0016181229773462,0.875,1.0,6.908754779,0.635503218,1.089110451,GL
1-13,198,228,-0.810020789,-0.945005664,-0.891011714,-0.998999614,-1.079990539,0.04099172,-0.148866465,-0.375460265,-0.330349178,0.506499522,0.940273107,-0.53600459,-0.095924695,-0.868529024,-0.41524253,-0.381059973,0.021587743,-0.029312987,0.726416212,1.530303652,0.220056279,0.108116557,0.206952193,0.166527818,0.023725777,0.039508381,1,1,-0.8915981192837826,5.293304824724492,0.2,0.602192982,0.98,3.844050022,-1.079990539,-0.810020789,XY
1-14,78,623,-1.237380537,-0.515805906,-0.804435759,-0.227176054,0.205768725,0.246351072,0.559532194,-0.384532102,-0.205385327,1.066077354,0.594505579,0.161089854,0.122432979,-0.817453084,0.625375624,-0.051911234,0.020523099,2.400145048,1.617612924,1.240485293,1.11921849,0.366803694,1.065299199,-0.802353498,0.355608893,-0.755009507,1,1,-1.5606477482646677,4.3694478524670215,0.0833333333333333,0.806661316,0.96,3.154402342,0.205768725,-1.237380537,ZY
1-15,288,218,-0.403035099,-0.47726079,-0.447570514,-0.506951067,-0.551486481,0.362058441,-0.414734333,-0.023816505,0.745169573,0.657736225,0.515670566,-0.084467656,0.343834487,-0.868529024,-0.823719692,-0.590183495,-0.862776561,0.056176679,-0.157942723,0.028483259,0.912550713,0.814806898,0.606123803,0.785794127,0.561207197,-0.463491624,0,1,0.009950330853168,5.666426688112432,0.1666666666666666,0.686238532,0.99,4.500819262,-0.551486481,-0.403035099,ZR
1-16,498,104,-0.403035099,0.004374786,-0.158589168,0.16733874,0.411784672,0.510868328,0.618929021,0.068775525,1.960871486,0.022387342,1.1875011,-0.685193816,0.690329999,0.450942987,1.146629378,0.32435339,0.429755884,1.210530283,0.079961228,0.969038672,0.392917863,-0.33351266,0.05657578,-0.725865629,-0.131153309,-0.001737819,1,1,0.6981347220709843,6.2324480165505225,0.0093457943925233,0.839423077,0.99,4.500819262,0.411784672,-0.403035099,
1-17,69,695,-1.496612489,-0.571815302,-0.941734177,-0.201896427,0.352981885,0.117886432,0.079068318,-0.46307909,0.431961722,0.220870215,1.006564883,-0.606885572,-0.365265987,-0.845636715,0.113236275,0.083026249,-0.451769841,1.337511816,0.682376428,1.42269323,0.611103888,0.396563372,1.198794201,-0.424877002,0.450672387,-0.511901841,0,0,0.009950330853168,6.712834686611667,0.0024096385542168,0.830071942,0.94,2.736069275,0.352981885,-1.496612489,XM
1-18,499,292,-1.057712899,-0.523366566,-0.737105099,-0.309628033,0.010979767,0.208093785,0.828993976,-0.105893405,0.986773993,0.053007134,0.605390668,-0.498809467,0.890508737,-0.487121193,0.392305453,0.284686399,-0.172245529,3.317797282,1.57702668,0.049614021,-0.081509491,0.920105473,0.18653599,-0.343003115,1.124771535,-0.438761346,0,1,-4.605170185988091,7.372785624427692,0.1666666666666666,0.775684932,0.97,3.444339264,0.010979767,-1.057712899,LG
1-19,288,643,-0.403035099,-0.166519628,-0.261125816,-0.071913439,0.069995844,0.320259388,-0.151014681,-0.455078644,0.623503484,0.27264838,1.147128428,0.013095291,-0.682371581,-0.797391083,-0.479953511,0.148684147,0.241303447,0.257400795,0.255225019,-0.827839982,-0.177225241,0.741082372,1.627279916,-0.371789599,1.336582713,0.044297972,0,1,0.412109650826833,6.497277629050428,0.0018796992481203,0.785069984,0.99,4.500819262,0.069995844,-0.403035099,MD
1-20,269,296,-1.057712899,-0.739025048,-0.866500189,-0.611549908,-0.420337197,-0.293978285,-0.374820552,-0.703873013,0.458356255,-0.630383275,-0.138629628,-0.455361764,0.049544974,-0.841653762,-0.720967593,-0.464558196,-0.777626619,-0.254449776,0.38596711,1.14872733,0.879170791,0.393205699,0.592871042,-0.642305239,0.291962349,-0.682157689,1,1,-0.6733445532637656,5.598421958998375,0.0021598272138228,0.707094595,0.97,3.444339264,-0.420337197,-1.057712899,ND
1-21,466,56,-0.810020789,-0.485892412,-0.615543763,-0.356241061,-0.161764034,0.487008323,-0.403806298,0.870127657,0.259043011,0.618641023,0.400562496,0.28666743,-1.150271963,-0.868529024,0.583701538,0.090859629,-0.262672212,-0.819962864,-0.399769191,0.193226806,-0.723332043,2.033775958,-0.379667339,0.870966665,-0.663925976,-0.255051731,1,0,-0.6733445532637656,6.453099926683201,0.0011655011655011,0.748214286,0.98,3.844050022,-0.161764034,-0.810020789,HX
1-22,426,6,-0.403035099,0.247240416,-0.01286979,0.507350621,0.89751593,-0.637255107,-1.146724977,-1.01256711,-0.83348885,-1.144687398,0.489661641,-0.685193816,-1.150271963,-0.868529024,-1.303124065,-1.925510262,-0.862776561,-0.819962864,-1.096900102,0.927854416,-0.205360856,-0.39844581,0.027010462,-0.266657799,-0.03988687,0.37523592,1,1,-0.6733445532637656,7.624008448256557,0.0015974440894568,0.916666667,0.99,4.500819262,0.89751593,-0.403035099,YS
1-23,458,436,-0.810020789,-0.514171241,-0.63251106,-0.395831422,-0.218321693,0.548931109,-0.172427388,0.18038199,1.131063854,0.11984017,0.976548713,0.336820821,-0.439522008,-0.832037843,0.238708346,0.590407136,-0.130539144,-0.282466021,-0.351542183,-0.304111719,0.860353264,0.270569615,-0.198254155,0.786496615,0.271730707,-0.055745894,1,1,-0.2107210313156528,6.129050210060545,0.1666666666666666,0.739220183,0.98,3.844050022,-0.218321693,-0.810020789,NS
1-24,198,7,-1.237380537,-1.839327583,-1.598548765,-2.080106402,-2.441274629,-0.637255107,-0.721523616,-1.01256711,-0.83348885,-1.144687398,0.489661641,-0.685193816,-1.150271963,-0.868529024,-2.079014967,-0.986855313,-0.862776561,-0.819962864,1.716745377,1.388688934,0.266469402,0.050764148,0.089471217,0.171403316,-0.264962805,0.217063356,0,0,-0.3424903089467757,5.293304824724492,0.0009900990099009,0.385714286,0.96,3.154402342,-2.441274629,-1.237380537,FW
1-25,297,450,-1.057712899,-0.50700453,-0.727287878,-0.286721182,0.043703839,1.37197913,0.952368765,1.342490351,2.980458948,1.826847533,1.032464434,-0.322365617,1.123111906,-0.612198745,1.145869764,0.366352925,-0.414698647,1.557860167,3.500283984,0.941972084,0.544026621,0.271665694,0.769305667,0.530982336,-0.069575374,-0.393689112,1,0,-4.605170185988091,6.008813185442595,0.0016051364365971,0.780888889,0.97,3.444339264,0.043703839,-1.057712899,BR
1-26,169,703,-1.057712899,-1.261354657,-1.179897954,-1.342811361,-1.464996416,0.251732337,-0.537475251,-0.599308616,1.162751797,0.198502316,0.567411678,-0.070695489,-1.114388272,-0.868529024,-0.918472948,-0.463649509,-0.498275057,-0.384036986,0.485025041,-0.30813468,-0.034906267,0.791925091,0.966769186,-0.58170643,1.176770822,0.125194602,1,1,0.412109650826833,6.497277629050428,0.0104166666666666,0.540967283,0.97,3.444339264,-1.464996416,-1.057712899,MD
1-27,153,104,-1.057712899,-1.14225771,-1.108439785,-1.176075634,-1.22680252,0.676482885,0.295066597,-1.553238428,4.075025688,0.319101259,0.965064772,-0.423538865,-0.757895576,-0.868529024,0.614899948,0.068128668,1.197197023,0.220045821,1.591619316,0.816368195,0.383491687,1.023481492,1.003832506,-0.219176605,0.279847969,-0.360736258,1,1,0.6981347220709843,5.0369526024136295,0.0714285714285714,0.578846154,0.97,3.444339264,-1.22680252,-1.057712899,SS
1-28,79,178,-2.120589555,-2.46211199,-2.325503016,-2.598720964,-2.803634425,-0.672742337,-0.703595177,-1.223165676,-1.327583316,-0.682391557,0.401745631,-0.532316766,-1.016888039,-0.77914613,-1.032209485,-0.596286184,-0.697579296,-0.144801171,-0.658255933,-0.551172371,0.26931388,0.631228494,1.483569795,0.334606818,0.799789346,-0.277689667,0,1,-0.4942963218147806,4.382026634673881,0.0120481927710843,0.328089888,0.85,1.729132292,-2.803634425,-2.120589555,ML
