product_id,z_pc1,z_pc2,z_pc3,z_pc4,z_pc5,z_pc6,z_pc7
1—1,-1.230245045,1.154211062,0.225572516,-0.687818196,0.013923348,0.025060303,0.133556156
1—2,0.482820418,0.821992921,-0.162414659,0.060472436,-0.375786802,-0.196586443,-0.091892755
1—3,-0.389912718,0.627880176,0.005876639,-0.583608834,0.459959098,0.05400109,-0.322620986
1—4,0.219927813,-0.55124074,-0.668588227,-0.083387989,0.054239021,0.17320197,-0.088938773
1—5,0.858660574,0.623187454,-0.160159141,-0.299499853,0.112025603,-0.617173,0.507096274
1—6,1.209691751,0.676096963,0.405217485,1.297418054,-0.084057188,-0.517897049,-0.222758223
1—7,-0.296946617,-0.258960605,-0.002412195,-0.43094317,-0.146358323,0.626433754,0.626154874
1—8,-1.09104707,-0.974674781,0.585570543,1.679352339,0.682081121,0.107278956,0.413418731
1—9,-0.45940112,-0.356828118,-0.02920832,-0.255595003,-0.192196004,0.468610035,0.347178593
1—10,1.198074182,0.319080014,0.423743674,0.025506536,0.293750627,0.082611168,0.139861342
1—11,1.248334275,1.081446494,0.539568176,0.760940009,-0.412096132,0.526591826,-0.727548237
1—12,-0.350502709,-0.524179075,0.167900139,-0.422753956,-0.121023671,0.501447494,0.451898825
1—13,1.530303652,0.220056279,0.108116557,0.206952193,0.166527818,0.023725777,0.039508381
1—14,1.240485293,1.11921849,0.366803694,1.065299199,-0.802353498,0.355608893,-0.755009507
1—15,0.028483259,0.912550713,0.814806898,0.606123803,0.785794127,0.561207197,-0.463491624
1—16,0.969038672,0.392917863,-0.33351266,0.05657578,-0.725865629,-0.131153309,-0.001737819
1—17,1.42269323,0.611103888,0.396563372,1.198794201,-0.424877002,0.450672387,-0.511901841
1—18,0.049614021,-0.081509491,0.920105473,0.18653599,-0.343003115,1.124771535,-0.438761346
1—19,-0.827839982,-0.177225241,0.741082372,1.427279916,-0.371789599,1.336582713,0.044297972
1—20,1.14872733,0.879170791,0.393205699,0.592871042,-0.642305239,0.291962349,-0.682157689
1—21,0.193226806,-0.723332043,2.033775958,-0.379667339,0.870966665,-0.663925976,-0.255051731
1—22,0.927854416,-0.205360856,-0.39844581,0.027010462,-0.266657799,-0.03988687,0.37523592
1—23,-0.304111719,0.860353264,0.270569615,-0.198254155,0.786496615,0.271730707,-0.055745894
1—24,1.388688934,0.266469402,0.050764148,0.089471217,0.171403316,-0.264962805,0.217063356
1—25,0.941972084,0.544026621,0.271665694,0.769305667,0.530982336,-0.069575374,-0.393689112
1—26,-0.30813468,-0.034906267,0.791925091,0.966769186,-0.58170643,1.176770822,0.125194602
1—27,0.816368195,0.383491687,1.023481492,1.003832506,-0.219176605,0.279847969,-0.360736258
1—28,-0.551172371,0.26931388,0.631228494,1.483569795,0.334606818,0.799789346,-0.277689667
1—29,0.522269387,-0.204123475,0.872964162,0.084953686,-0.873071925,0.795588556,-0.367694394
1—30,1.306429622,0.084240241,-0.148388844,0.249511108,-0.522749142,0.145813507,-0.322930177
1—31,1.313660264,0.122033989,0.57598469,1.407649706,0.439235901,-0.119457525,0.004797072
1—32,0.88462876,0.359570661,1.046996605,0.257836901,0.537153967,-0.591408561,0.480844233
1—33,0.65274255,0.047185696,-0.483116313,0.34093933,-0.410054559,-0.417581256,0.64676776
1—34,-0.542741257,0.443165285,0.806249432,1.490901495,0.967922492,0.423657938,0.08608228
